Cage,Rack,Label,Server IP,HostName,Server Type,Server Model,ZService,Component,Group,OS,RAM (GB),Memory Encryption,Disk Encryption,Role,LB Type,PO Number,VLAN,CPU(s),Drive Type
CT1E,CT1E-302,CT1E-302-GTA08-N4-vm7,10.164.117.189,10.164.117.189,VM,-,ProjectXTest,Test-Server,AravindS,Debian 12.9,4,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-NON-SAS COMPUTE,32,NVMe
CT1E,CT1E-302,CT1E-302-GTA08-N4-vm8,10.164.117.201,10.164.117.201,VM,-,ProjectXTest,Test-Server,AravindS,Debian 12.9,4,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-NON-SAS COMPUTE,32,NVMe
CT1E,CT1E-302,CT1E-302-GTA08-N4-vm9,10.164.117.222,10.164.117.222,VM,-,ProjectXTest,Test-Server,AravindS,Debian 12.9,4,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-NON-SAS COMPUTE,32,NVMe
CT1E,CT1E-303,CT1E-303-GTA08-N3-vm5,10.164.117.237,10.164.117.237,VM,-,ProjectXTest,Test-Server,AravindS,Debian 12.9,4,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-NON-SAS COMPUTE,32,NVMe
CT1E,CT1E-303,CT1E-303-GTA08-N3-vm6,10.164.117.248,10.164.117.248,VM,-,ProjectXTest,Test-Server,AravindS,Debian 12.9,4,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-NON-SAS COMPUTE,32,NVMe
CT1E,CT1E-303,CT1E-303-GTA08-N3-vm7,10.164.117.75,10.164.117.75,VM,-,ProjectXTest,Test-Server,AravindS,Debian 12.9,4,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-NON-SAS COMPUTE,32,NVMe
CT1E,CT1E-303,CT1E-303-GTA08-N3-vm8,10.164.117.112,10.164.117.112,VM,-,ProjectXTest,Test-Server,AravindS,Debian 12.9,4,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-NON-SAS COMPUTE,32,NVMe
CT1E,CT1E-303,CT1E-303-GTA08-N3-vm9,10.164.117.149,10.164.117.149,VM,-,ProjectXTest,Test-Server,AravindS,Debian 12.9,4,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-NON-SAS COMPUTE,32,NVMe
CT1E,CT1E-304,CT1E-304-GTA08-N4-vm20,10.164.206.173,10.164.206.173,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.5,16,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-305,CT1E-305-GTA08-N3-vm14,10.164.206.188,10.164.206.188,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.5,16,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-305,CT1E-305-GTA08-N3-vm19,10.164.206.183,10.164.206.183,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.5,16,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-COMMON APP-1,32,NVMe
Cage1,CT01,CT01-D2C11-N2-vm11,172.20.57.148,172.20.57.148,VM,-,ProjectXTest,Test-Server,Anish,CentOS Linux release 7.9.2009 (Core),4,SME,HW Encryption Not Supported,-,None,ZOHO EST/20-21/0350,VLAN-172.20,64,SSD
Cage1,CT01,CT01-D2C12-N1-vm21,172.20.63.255,172.20.63.255,VM,-,ProjectXTest,Test-Server,AravindS,Debian 12.9,4,Unknown,HW Encryption Not Supported,-,None,-,VLAN-172.20,64,SSD
NWL-HALL4-POD1-ROW2,CT1B-0205,CT1B-0205-BTA16-N3-vm19,172.20.68.135,172.20.68.135,VM,-,ProjectXTest,Test-Server,SantoshK,Debian 12.9,8,Unknown,HW Encryption Supported,-,None,ZOHO EST/23-24/0781,VLAN-172.20,32,NVMe
Cage1,CT17,CT17-FTA23-N4-vm13,172.20.98.71,172.20.98.71,VM,-,ProjectXTest,Test-Server,Samethan,Debian 11.3,4,Unknown,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT17,CT17-FTA23-N4-vm16,172.20.98.72,172.20.98.72,VM,-,ProjectXTest,Test-Server,SureshKumarN,Debian 11.3,4,Unknown,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT08,CT08-S2U09-N4-vm2,172.20.53.201,172.20.53.201,VM,-,ProjectXTest,Test-Server,Bharathvikraman,Debian 11.3,4,Unknown,HW Encryption Supported,-,None,-,VLAN-172.20,40,HDD
